Inlier/Outlier, Embryo Id, Cell ID, Size, TE/ICM, X, Y, Z, CH1-Avg, CH1-Sum, CH2-Avg, CH2-Sum, CH3-Avg, CH3-Sum, CH4-Avg, CH4-Sum, 
1,1,1,4405,2,244.95,228.11,7.657,163.84,7.22E+05,12.334,54330,55.346,2.44E+05,62.428,2.75E+05,
1,1,2,7288,2,222.81,252.92,7.3548,157.11,1.15E+06,24.115,1.76E+05,50.018,3.65E+05,71.842,5.24E+05,
1,1,3,4216,2,220.43,289.15,6.2993,187.1,7.89E+05,32.753,1.38E+05,61.117,2.58E+05,39.569,1.67E+05,
1,1,4,4217,2,204.45,241.66,10.186,192.82,8.13E+05,62.707,2.64E+05,40.53,1.71E+05,41.876,1.77E+05,
1,1,5,4591,2,156.81,291.24,8.3873,204.14,9.37E+05,14.317,65728,14.821,68045,43.039,1.98E+05,
1,1,6,5116,2,194.78,310.72,10.054,182.77,9.35E+05,33.879,1.73E+05,46.741,2.39E+05,34.902,1.79E+05,
1,1,7,4613,2,240.06,314.03,9.4182,183.28,8.45E+05,36.176,1.67E+05,49.884,2.30E+05,38.809,1.79E+05,
1,1,8,7190,2,263.04,294.99,12.333,188.96,1.36E+06,5.2437,37702,16.993,1.22E+05,10.378,74615,
1,1,9,9174,2,273.95,250.41,12.724,185.1,1.70E+06,7.1195,65314,33.475,3.07E+05,62.918,5.77E+05,
1,1,10,3083,2,180.19,261.16,12.654,189.99,5.86E+05,29.704,91578,56.148,1.73E+05,35.74,1.10E+05,
1,1,11,5792,2,230.4,342.13,11.877,154.16,8.93E+05,9.9377,57559,33.813,1.96E+05,53.13,3.08E+05,
1,1,12,6663,2,206.99,214.61,14.487,164.33,1.09E+06,30.652,2.04E+05,37.146,2.48E+05,71.834,4.79E+05,
1,1,13,8561,2,245.82,181.87,15.609,116.47,9.97E+05,18.031,1.54E+05,39.023,3.34E+05,35.133,3.01E+05,
1,1,14,11031,2,294.8,196.53,11.916,79.333,8.75E+05,7.3216,80765,23.75,2.62E+05,29.124,3.21E+05,
1,1,15,8528,2,149.51,273.47,17.672,185.95,1.59E+06,59.979,5.12E+05,38.613,3.29E+05,56.929,4.85E+05,
1,1,16,910,1,257.56,228.77,16.711,158.32,1.44E+05,23.316,21218,94.009,85548,9.4978,8643,
1,1,17,4120,2,165.3,238.92,19.031,153.66,6.33E+05,58.378,2.41E+05,37.45,1.54E+05,37.754,1.56E+05,
1,1,18,8699,2,161.98,321.59,19.616,175.82,1.53E+06,10.13,88118,19.311,1.68E+05,45.551,3.96E+05,
1,1,19,3419,2,200.89,345.93,20.035,188.41,6.44E+05,14.085,48158,21.65,74023,24.517,83825,
1,1,20,10370,1,299.46,228.05,23.978,127.21,1.32E+06,50.871,5.28E+05,16.949,1.76E+05,6.0339,62572,
1,1,21,2691,1,269.6,269.97,19.548,211.5,5.69E+05,5.7284,15415,36.858,99185,54.037,1.45E+05,
1,1,22,8597,2,207.21,185.7,25.086,166.6,1.43E+06,6.6551,57214,32.797,2.82E+05,40.391,3.47E+05,
1,1,23,9235,2,226.19,356.66,23.766,147.57,1.36E+06,6.0455,55830,11.85,1.09E+05,12.016,1.11E+05,
1,1,24,2293,1,224.46,209.3,22.619,146,3.35E+05,19.282,44213,82.574,1.89E+05,8.0436,18444,
1,1,25,4929,2,279.35,309.76,23.503,128.76,6.35E+05,9.6553,47591,30.737,1.52E+05,47.64,2.35E+05,
1,1,26,4855,2,183.15,357.58,24.806,158.39,7.69E+05,5.3786,26113,14.786,71788,66.352,3.22E+05,
1,1,27,8227,1,258.58,182.55,25.432,157.14,1.29E+06,132.31,1.09E+06,11.836,97372,7.9128,65099,
1,1,28,4253,2,141.91,302.36,25.83,138.04,5.87E+05,21.569,91732,14.971,63672,61.3,2.61E+05,
1,1,29,4694,2,265.37,336.62,25.889,150.52,7.07E+05,6.6246,31096,22.657,1.06E+05,42.119,1.98E+05,
1,1,30,4487,2,251.11,360.58,28.018,144.45,6.48E+05,15.921,71438,16.46,73854,58.95,2.65E+05,
1,1,31,17030,2,316.45,258.14,33.753,132.77,2.26E+06,68.439,1.17E+06,16.782,2.86E+05,19.168,3.26E+05,
