Inlier/Outlier, Embryo Id, Cell ID, Size, TE/ICM, X, Y, Z, CH1-Avg, CH1-Sum, CH2-Avg, CH2-Sum, CH3-Avg, CH3-Sum, CH4-Avg, CH4-Sum, 
1,1,1,17003,2,237.44,320.63,8.2542,110.95,1.89E+06,5.8299,99126,35.652,6.06E+05,37.351,6.35E+05,
1,1,2,11639,2,268.94,244.17,10.154,137.14,1.60E+06,24.308,2.83E+05,61.632,7.17E+05,48.786,5.68E+05,
1,1,3,12948,2,199.08,238.51,10.151,97.631,1.26E+06,13.619,1.76E+05,43.545,5.64E+05,47.112,6.10E+05,
1,1,4,14253,2,222.84,204.81,15.043,104.12,1.48E+06,10.99,1.57E+05,33.558,4.78E+05,38.227,5.45E+05,
1,1,5,16278,2,268.85,188.09,13.711,72.752,1.18E+06,24.991,4.07E+05,27.112,4.41E+05,44.129,7.18E+05,
1,1,6,8397,1,223.37,294.33,14.848,124.15,1.04E+06,19.907,1.67E+05,124.52,1.05E+06,5.3134,44617,
1,1,7,12962,2,320.35,288.6,16.454,129.4,1.68E+06,9.3729,1.21E+05,47.496,6.16E+05,54.205,7.03E+05,
1,1,8,8957,1,273.07,312.47,16.836,121.37,1.09E+06,87.33,7.82E+05,56.385,5.05E+05,5.8101,52041,
1,1,9,8776,2,325.1,206.22,18.018,131.22,1.15E+06,31.732,2.78E+05,29.889,2.62E+05,51.51,4.52E+05,
1,1,10,11895,2,155.92,246.58,17.47,103.77,1.23E+06,15.753,1.87E+05,48.4,5.76E+05,44.052,5.24E+05,
1,1,11,7502,2,170.93,208.12,19.443,129.58,9.72E+05,4.777,35837,32.128,2.41E+05,59.311,4.45E+05,
1,1,12,4788,1,252.19,274.07,18.297,119.67,5.73E+05,91.957,4.40E+05,64.308,3.08E+05,6.0541,28987,
1,1,13,6707,1,283.48,277.73,19.914,138.49,9.29E+05,33.338,2.24E+05,78.933,5.29E+05,13.161,88273,
1,1,14,9795,1,187.97,322.7,21.334,128.02,1.25E+06,153.95,1.51E+06,15.194,1.49E+05,5.9511,58291,
1,1,15,9270,2,328.96,238.52,21.532,119.62,1.11E+06,14.911,1.38E+05,47.924,4.44E+05,32.189,2.98E+05,
1,1,16,5630,1,207.38,262.25,20.08,121.33,6.83E+05,83.812,4.72E+05,82.963,4.67E+05,5.873,33065,
1,1,17,9642,2,155.44,322.14,24.78,123.06,1.19E+06,9.2075,88779,61.275,5.91E+05,53.006,5.11E+05,
1,1,18,10980,2,305.9,338,24.771,138.32,1.52E+06,12.622,1.39E+05,42.595,4.68E+05,41.883,4.60E+05,
1,1,19,8649,1,253.72,342.69,22.179,123.29,1.07E+06,13.987,1.21E+05,88.059,7.62E+05,4.9993,43239,
1,1,20,10251,2,203.97,361.33,23.964,119.61,1.23E+06,9.3115,95452,58.163,5.96E+05,45.376,4.65E+05,
1,1,21,13501,2,218.87,131.26,26.497,81.657,1.10E+06,4.547,61389,20.316,2.74E+05,25.08,3.39E+05,
1,1,22,4381,1,174.13,257.37,24.21,109.2,4.78E+05,20.814,91187,80.289,3.52E+05,5.4682,23956,
1,1,23,6908,1,327.09,273.31,25.209,122.56,8.47E+05,59.545,4.11E+05,67.001,4.63E+05,18.234,1.26E+05,
1,1,24,4902,1,217.2,327.23,24.852,127.98,6.27E+05,37.406,1.83E+05,108.98,5.34E+05,5.1946,25464,
1,1,25,12185,2,311.31,141.77,29.333,91.112,1.11E+06,13.334,1.62E+05,33.097,4.03E+05,36.5,4.45E+05,
1,1,26,7936,1,234.9,263.71,28.575,117.84,9.35E+05,36.704,2.91E+05,57.673,4.58E+05,4.7208,37464,
1,1,27,10454,1,141.33,274.67,29.956,112.31,1.17E+06,108.84,1.14E+06,52.69,5.51E+05,5.6647,59219,
1,1,28,3242,1,187.02,292.42,25.553,113.2,3.67E+05,27.887,90410,123.5,4.00E+05,4.9149,15934,
1,1,29,9179,2,137.25,198.15,30.688,110.92,1.02E+06,22.225,2.04E+05,35.232,3.23E+05,49.472,4.54E+05,
1,1,30,5045,1,240.07,305.18,28.018,104.63,5.28E+05,40.836,2.06E+05,91.043,4.59E+05,5.6178,28342,
1,1,31,4184,1,278.72,320.14,28.741,137.51,5.75E+05,96.101,4.02E+05,81.067,3.39E+05,5.4044,22612,
1,1,32,9199,1,297.27,296.81,32.734,134.59,1.24E+06,128.91,1.19E+06,19.954,1.84E+05,5.1705,47563,
1,1,33,9919,2,261.58,374.94,35.34,143.97,1.43E+06,4.472,44358,25.918,2.57E+05,49.794,4.94E+05,
1,1,34,11037,2,156.52,147.4,36.594,109.89,1.21E+06,4.028,44457,24.041,2.65E+05,44.448,4.91E+05,
1,1,35,10437,2,115.78,257.74,37.706,129.78,1.35E+06,6.7591,70545,26.191,2.73E+05,50.108,5.23E+05,
1,1,36,12288,1,171.5,260.68,35.808,103.89,1.28E+06,61.174,7.52E+05,45.741,5.62E+05,4.6372,56982,
1,1,37,12870,2,356.78,293.23,38.717,115.19,1.48E+06,5.9542,76631,36.112,4.65E+05,47.132,6.07E+05,
1,1,38,12041,2,361.48,163.24,39.781,92.351,1.11E+06,11.655,1.40E+05,36.072,4.34E+05,36.076,4.34E+05,
1,1,39,6981,1,250.98,287.6,37.978,114.86,8.02E+05,21.489,1.50E+05,99.689,6.96E+05,4.1825,29198,
1,1,40,9566,1,217.51,352.27,36.422,120.78,1.16E+06,79.271,7.58E+05,37.882,3.62E+05,5.0738,48536,
1,1,41,7806,1,260.12,343.95,36.455,121.61,9.49E+05,58.454,4.56E+05,85.132,6.65E+05,4.9122,38345,
1,1,42,5766,1,209.7,286.64,39.63,117.74,6.79E+05,52.206,3.01E+05,82.062,4.73E+05,4.4492,25654,
1,1,43,8573,1,189.76,309.74,39.378,129.93,1.11E+06,7.7966,66840,87.972,7.54E+05,4.1779,35817,
1,1,44,10336,1,153.82,301.75,41.446,111.76,1.16E+06,9.5998,99224,80.627,8.33E+05,4.866,50295,
1,1,45,8702,2,241.24,104.94,44.669,110.37,9.60E+05,6.2768,54621,31.458,2.74E+05,34.809,3.03E+05,
1,1,46,10468,1,239.75,322.53,46.191,121.18,1.27E+06,73.642,7.71E+05,39.956,4.18E+05,4.628,48446,
1,1,47,7637,2,120.63,231.3,46.558,95.416,7.29E+05,20.258,1.55E+05,34.47,2.63E+05,32.629,2.49E+05,
1,1,48,10313,1,291.18,322.56,45.928,100.73,1.04E+06,20.888,2.15E+05,70.525,7.27E+05,4.8195,49704,
1,1,49,9745,2,290.54,105.21,50.265,106.48,1.04E+06,10.326,1.01E+05,35.46,3.46E+05,45.507,4.43E+05,
1,1,50,12348,2,160.93,325.51,50.894,109.57,1.35E+06,4.9119,60652,34.789,4.30E+05,39.123,4.83E+05,
1,1,51,9722,2,302.4,338.16,54.068,96.251,9.36E+05,8.4761,82405,41.179,4.00E+05,40.054,3.89E+05,
1,1,52,11696,2,135.93,185.55,54.876,80.408,9.40E+05,16.869,1.97E+05,30.48,3.57E+05,41.545,4.86E+05,
1,1,53,11612,2,200.47,115.39,57.265,100.3,1.16E+06,3.8191,44347,19.865,2.31E+05,43.023,5.00E+05,
1,1,54,8977,1,202.66,320.83,53.811,103.25,9.27E+05,99.093,8.90E+05,12.71,1.14E+05,4.5217,40591,
1,1,55,8696,2,335.2,303.46,56.435,96.601,8.40E+05,6.3161,54925,32.876,2.86E+05,35.58,3.09E+05,
1,1,56,14876,2,232.15,353.54,58.381,71.659,1.07E+06,5.1939,77265,29.111,4.33E+05,27.659,4.11E+05,
1,1,57,27116,2,282.88,152.87,60.22,40.074,1.09E+06,19.401,5.26E+05,13.155,3.57E+05,18.832,5.11E+05,
1,1,58,19805,2,355.37,210.75,59.156,53.446,1.06E+06,21.771,4.31E+05,15.786,3.13E+05,29.981,5.94E+05,
1,1,59,10106,2,164.92,280.4,62.064,110.8,1.12E+06,3.4047,34408,25.685,2.60E+05,30.302,3.06E+05,
1,1,60,17539,2,301.47,231.78,58.642,41.131,7.21E+05,17.347,3.04E+05,20.889,3.66E+05,16.582,2.91E+05,
1,1,61,15397,2,204.58,231.95,61.661,48.572,7.48E+05,16.228,2.50E+05,23.133,3.56E+05,16.51,2.54E+05,
1,1,62,8551,2,157.09,221.18,65.18,72.273,6.18E+05,20.33,1.74E+05,23.775,2.03E+05,19.435,1.66E+05,
1,1,63,10789,2,245.4,310.65,65.08,98.837,1.07E+06,3.4862,37613,26.697,2.88E+05,35.272,3.81E+05,
1,1,64,8604,2,299.58,290.8,65.465,74.141,6.38E+05,6.201,53353,25.901,2.23E+05,33.069,2.85E+05,
