Inlier/Outlier, Embryo Id, Cell ID, Size, TE/ICM, X, Y, Z, CH1-Avg, CH1-Sum, CH2-Avg, CH2-Sum, CH3-Avg, CH3-Sum, CH4-Avg, CH4-Sum, CH5-Avg, CH5-Sum,M/L
1,1,203,3235,1,261.25,411.14,50.561,89.262,2.89E+05,103.63,3.35E+05,14.695,47537,15.816,51164,8.4909,27468,M
1,1,204,4522,2,145.2,438.84,52.406,123.04,5.56E+05,108.9,4.92E+05,15.713,71052,17.726,80159,5.3735,24299,M
1,1,206,4144,2,330.04,383.42,53.524,147.07,6.09E+05,80.943,3.35E+05,15.287,63348,12.406,51409,5.1634,21397,M
1,1,207,5008,2,104.23,198.8,52.905,93.485,4.68E+05,164.33,8.23E+05,14.684,73538,15.649,78368,5.6472,28281,M
1,1,210,5788,2,113.88,253.45,54.716,79.389,4.60E+05,147.54,8.54E+05,15.379,89011,28.515,1.65E+05,7.0534,40825,M
1,1,212,3458,2,204.2,307.34,54.717,131.32,4.54E+05,115.42,3.99E+05,15.006,51890,16.219,56087,5.7108,19748,M
1,1,214,2919,2,68.136,179.04,54.767,97.171,2.84E+05,165.82,4.84E+05,15.084,44031,25.545,74566,7.3683,21508,M
1,1,221,4256,2,185.31,436.19,54.917,79.62,3.39E+05,107.44,4.57E+05,15.715,66882,19.313,82195,7.4894,31875,M
1,1,226,4323,2,144.97,349.36,57.058,101.41,4.38E+05,114.45,4.95E+05,15.887,68678,16.684,72125,6.4966,28085,M
1,1,227,4570,3,171.55,393.2,57.292,99.297,4.54E+05,113.92,5.21E+05,26.483,1.21E+05,18.926,86491,5.5687,25449,M
1,1,231,4040,2,156.07,267.4,55.874,62.655,2.53E+05,141.72,5.73E+05,15.245,61590,28.841,1.17E+05,6.0678,24514,M
1,1,233,4913,2,266.78,350.9,59.985,106.5,5.23E+05,101.05,4.96E+05,14.369,70594,11.916,58544,4.7602,23387,M
1,1,236,2287,2,321.96,411.25,59.04,106.65,2.44E+05,79.62,1.82E+05,15.18,34716,13.929,31855,8.5077,19457,M
1,1,237,6925,1,257.49,441.71,59.65,75.322,5.22E+05,92.688,6.42E+05,16.216,1.12E+05,14.668,1.02E+05,6.7292,46600,M
1,1,238,4551,2,296.27,452.02,60.163,120.71,5.49E+05,82.345,3.75E+05,15.579,70902,10.885,49539,6.2806,28583,M
