Inlier/Outlier, Embryo Id, Cell ID, Size, TE/ICM, X, Y, Z, CH1-Avg, CH1-Sum, CH2-Avg, CH2-Sum, CH3-Avg, CH3-Sum, CH4-Avg, CH4-Sum, 
1,1,2,3005,2,358.41,289.19,4.9617,109.78,3.30E+05,9.4942,28530,47.226,1.42E+05,23.712,71256,
1,1,3,8749,2,386.25,310.51,6.1909,129.65,1.13E+06,45.893,4.02E+05,49.213,4.31E+05,24.938,2.18E+05,
1,1,4,8699,2,396.07,382.72,6.8915,110.75,9.63E+05,25.849,2.25E+05,28.991,2.52E+05,22.27,1.94E+05,
1,1,6,14540,2,320.48,261.55,9.435,103.13,1.50E+06,21.669,3.15E+05,34.194,4.97E+05,19.928,2.90E+05,
1,1,7,6874,2,420.62,302.96,10.344,141.19,9.71E+05,8.327,57240,38.744,2.66E+05,22.81,1.57E+05,
1,1,8,6640,2,429.82,340.96,10.057,82.911,5.51E+05,22.419,1.49E+05,39.511,2.62E+05,17.418,1.16E+05,
1,1,10,4719,2,313.55,308.44,10.964,130.67,6.17E+05,8.8483,41755,44.709,2.11E+05,24.163,1.14E+05,
1,1,11,5897,2,340.93,346.1,10.915,107.19,6.32E+05,7.2152,42548,58.885,3.47E+05,15.612,92066,
1,1,13,8111,2,430.07,394,13.264,103.81,8.42E+05,54.426,4.41E+05,25.889,2.10E+05,16.993,1.38E+05,
1,1,15,5498,2,434.18,264.7,13.831,102.69,5.65E+05,12.806,70408,55.783,3.07E+05,20.034,1.10E+05,
1,1,16,5490,2,400.65,420.81,15.129,96.016,5.27E+05,35.435,1.95E+05,43.977,2.41E+05,19.953,1.10E+05,
1,1,17,11729,1,344.13,240.23,16.775,98.884,1.16E+06,73.697,8.64E+05,83.528,9.80E+05,19.797,2.32E+05,
1,1,18,5172,2,452.26,308.16,14.956,92.504,4.78E+05,29.045,1.50E+05,45.925,2.38E+05,18.918,97844,
1,1,20,7162,2,464.9,383.26,15.963,91.537,6.56E+05,20.336,1.46E+05,34.436,2.47E+05,21.236,1.52E+05,
1,1,21,5079,2,362.9,410.33,15.087,111.15,5.65E+05,10.175,51681,43.512,2.21E+05,20.969,1.07E+05,
1,1,22,10267,1,405.96,263.66,16.703,103.06,1.06E+06,187.08,1.92E+06,24.203,2.48E+05,15.754,1.62E+05,
1,1,23,5021,1,374.18,272.71,15.557,89.882,4.51E+05,115.85,5.82E+05,14.725,73934,15.769,79174,
1,1,26,6103,1,341.54,287.23,17.536,98.39,6.00E+05,120.49,7.35E+05,13.416,81878,14.33,87453,
1,1,29,10469,1,331.16,319.92,21.225,109.04,1.14E+06,8.4772,88748,147.83,1.55E+06,102.27,1.07E+06,
1,1,31,6253,2,387.3,217.41,21.542,104.93,6.56E+05,12.133,75870,68.502,4.28E+05,15.361,96054,
1,1,32,6236,2,301.89,337.65,21.762,108.19,6.75E+05,41.578,2.59E+05,61.273,3.82E+05,21.619,1.35E+05,
1,1,35,6541,2,328.65,386.09,22.681,145.93,9.55E+05,13.226,86510,34.029,2.23E+05,13.715,89709,
1,1,38,8691,1,304.4,271.48,22.205,103.36,8.98E+05,187.8,1.63E+06,14.146,1.23E+05,15.141,1.32E+05,
1,1,39,9430,1,385.01,294.25,24.992,92.881,8.76E+05,15.509,1.46E+05,125.69,1.19E+06,94.041,8.87E+05,
1,1,41,6352,2,448.51,280.79,26.656,134.27,8.53E+05,4.9891,31691,20.334,1.29E+05,14.407,91513,
1,1,42,7391,2,489.12,345.79,28.055,77.84,5.75E+05,16.397,1.21E+05,28.942,2.14E+05,18.04,1.33E+05,
1,1,43,3061,1,404.85,246.63,25.885,152.82,4.68E+05,34.667,1.06E+05,17.187,52610,17.531,53661,
1,1,44,9924,2,483.31,398.39,28.79,90.079,8.94E+05,19.052,1.89E+05,23.437,2.33E+05,17.566,1.74E+05,
1,1,45,7748,1,347.8,256.11,27.065,96.349,7.47E+05,167.47,1.30E+06,41.267,3.20E+05,15.361,1.19E+05,
1,1,46,9578,2,358.5,431.54,28.214,111.67,1.07E+06,11.063,1.06E+05,30.962,2.97E+05,22.222,2.13E+05,
1,1,47,7492,2,439.31,434.77,28.954,110,8.24E+05,46.709,3.50E+05,26.408,1.98E+05,20.139,1.51E+05,
1,1,48,9440,1,352.98,218.23,29.82,106.63,1.01E+06,198.03,1.87E+06,13.815,1.30E+05,13.983,1.32E+05,
1,1,49,5246,2,278.03,236.25,29.451,116.95,6.14E+05,28.289,1.48E+05,73.609,3.86E+05,18.437,96723,
1,1,50,8063,1,282.51,283.58,31.219,97.681,7.88E+05,129.97,1.05E+06,28.586,2.30E+05,16.893,1.36E+05,
1,1,55,8969,1,309.25,236.37,33.336,118.16,1.06E+06,8.8018,78943,143.79,1.29E+06,164.55,1.48E+06,
1,1,57,6191,2,440.86,249.85,33.692,73.328,4.54E+05,5.4799,33926,32.725,2.03E+05,12.336,76373,
1,1,58,5209,2,394.58,450.69,33.222,70.198,3.66E+05,21.839,1.14E+05,32.137,1.67E+05,18.039,93966,
1,1,60,5864,2,480.91,303.27,35.461,87.1,5.11E+05,7.5535,44294,26.368,1.55E+05,14.613,85693,
1,1,62,3076,1,370.99,258.49,35.092,141.31,4.35E+05,30.443,93643,21.389,65792,15.717,48344,
1,1,63,5940,1,323.68,275.69,36.1,95.634,5.68E+05,40.832,2.43E+05,77.716,4.62E+05,17.896,1.06E+05,
1,1,64,1893,1,327.74,300.68,33.285,90.394,1.71E+05,9.5341,18048,122.71,2.32E+05,92.197,1.75E+05,
1,1,65,7051,1,306.86,313.95,36.808,100.12,7.06E+05,127.92,9.02E+05,33.369,2.35E+05,16.263,1.15E+05,
1,1,66,5939,2,289.93,353.73,36.688,99.897,5.93E+05,31.012,1.84E+05,38.784,2.30E+05,18.903,1.12E+05,
1,1,68,10159,2,323.54,212.06,40.575,118.77,1.21E+06,7.7096,78322,32.265,3.28E+05,17.495,1.78E+05,
1,1,69,3566,2,265.22,289.88,37.71,85.093,3.03E+05,19.244,68625,39.607,1.41E+05,14.925,53223,
1,1,70,4923,1,360.04,246.9,39.705,114.07,5.62E+05,34.244,1.69E+05,101.97,5.02E+05,22.665,1.12E+05,
1,1,71,4697,2,309.13,385.43,38.28,87.558,4.11E+05,43.959,2.06E+05,39.341,1.85E+05,17.065,80153,
1,1,72,4291,2,333.07,416.89,38.449,89.296,3.83E+05,45.023,1.93E+05,40.862,1.75E+05,16.163,69355,
1,1,73,6284,2,404.81,234.53,41.627,143.65,9.03E+05,4.9075,30839,22.949,1.44E+05,9.7646,61361,
1,1,74,8811,1,372.34,296.57,41.691,91.555,8.07E+05,49.543,4.37E+05,93.776,8.26E+05,29.528,2.60E+05,
1,1,76,6841,1,313.28,334.78,42.526,89.807,6.14E+05,213.43,1.46E+06,18.291,1.25E+05,12.947,88572,
1,1,78,4318,2,494.87,378.43,41.51,94.573,4.08E+05,7.6989,33244,15.835,68377,13.534,58441,
1,1,80,5179,2,493.55,329.68,43.205,78.984,4.09E+05,6.7884,35157,16.015,82942,14.443,74798,
1,1,81,8948,2,412.37,445.91,43.859,88.546,7.92E+05,36.627,3.28E+05,21.382,1.91E+05,17.446,1.56E+05,
1,1,82,2751,1,346.4,273.22,44.461,91.629,2.52E+05,156.29,4.30E+05,18.858,51879,11.192,30789,
1,1,83,5279,1,286.63,285.65,43.554,93.507,4.94E+05,76.219,4.02E+05,73.916,3.90E+05,16.009,84509,
