Inlier/Outlier, Embryo Id, Cell ID, Size, TE/ICM, X, Y, Z, CH1-Avg, CH1-Sum, CH2-Avg, CH2-Sum, CH3-Avg, CH3-Sum, CH4-Avg, CH4-Sum, 
1,1,1,6698,2,276.48,312.16,4.1285,134.63,9.02E+05,18.755,1.26E+05,22.824,1.53E+05,11.235,75255,
1,1,2,13001,2,258.99,363.03,7.8909,106.28,1.38E+06,9.2029,1.20E+05,22.887,2.98E+05,8.153,1.06E+05,
1,1,3,7633,2,264.54,256.1,6.5347,129.35,9.87E+05,18.91,1.44E+05,19.064,1.46E+05,9.8767,75389,
1,1,4,9610,2,229.69,287.89,8.2644,101.01,9.71E+05,20.245,1.95E+05,26.631,2.56E+05,10.109,97152,
1,1,5,5017,2,303.65,356.12,7.9735,116.52,5.85E+05,17.155,86067,24.366,1.22E+05,8.2779,41530,
1,1,6,10278,2,321.9,280.66,8.7802,127.44,1.31E+06,29.417,3.02E+05,25.565,2.63E+05,11.131,1.14E+05,
1,1,7,7719,2,191.9,296.18,9.8237,68.25,5.27E+05,6.4319,49648,17.257,1.33E+05,5.6549,43650,
1,1,8,11150,2,337.4,345.84,8.8068,115.18,1.28E+06,5.7657,64287,18.834,2.10E+05,9.4448,1.05E+05,
1,1,9,8085,2,228.32,233.91,13.2,123.76,1.00E+06,17.826,1.44E+05,20.793,1.68E+05,9.4827,76668,
1,1,10,4017,1,260.66,325.56,10.076,112.74,4.53E+05,36.137,1.45E+05,12.241,49174,8.0936,32512,
1,1,11,8213,2,207.21,342.71,13.515,121.77,1.00E+06,6.1445,50465,19.506,1.60E+05,8.091,66451,
1,1,12,2928,1,293.29,250.75,13.181,114.9,3.36E+05,70.702,2.07E+05,21.8,63830,8.2357,24114,
1,1,13,4517,1,301.93,309.17,12.153,122.04,5.51E+05,14.934,67456,30.28,1.37E+05,7.4501,33652,
1,1,14,3830,1,254.1,259.59,15.147,123.1,4.71E+05,68.548,2.63E+05,15.415,59041,9.2627,35476,
1,1,15,4488,1,337.59,313.64,15.857,115.15,5.17E+05,39.282,1.76E+05,12.593,56516,8.2039,36819,
1,1,16,12568,2,277.44,218.79,20.394,136.83,1.72E+06,6.9963,87930,17.914,2.25E+05,8.8698,1.11E+05,
1,1,17,5999,1,281.28,280.52,15.12,115.9,6.95E+05,24.915,1.49E+05,17.123,1.03E+05,6.9682,41802,
1,1,18,4665,2,305.39,380.57,16.312,114.22,5.33E+05,5.1483,24017,19.585,91364,6.3648,29692,
1,1,19,15123,2,185.57,240.68,19.862,72.962,1.10E+06,14.416,2.18E+05,16.346,2.47E+05,5.255,79472,
1,1,20,6287,1,241.5,304.89,18.496,196.16,1.23E+06,8.0487,50602,14.585,91699,2.9424,18499,
1,1,21,3526,1,317.1,265.35,19.42,126.54,4.46E+05,5.4356,19166,36.602,1.29E+05,36.609,1.29E+05,
1,1,22,8039,2,368.97,309.19,21.982,119.39,9.60E+05,7.1465,57451,19.962,1.60E+05,8.5389,68644,
1,1,23,7336,1,254.2,357.38,20.32,156.25,1.15E+06,9.5316,69924,20.624,1.51E+05,6.3818,46817,
1,1,24,6506,2,318.04,230.25,23.677,138.8,9.03E+05,7.413,48229,18.445,1.20E+05,9.6511,62790,
1,1,25,8265,2,175.07,331.98,23.887,88.473,7.31E+05,19.845,1.64E+05,15.437,1.28E+05,5.2734,43585,
1,1,26,5578,1,328.07,356.28,22.652,113.86,6.35E+05,7.1795,40047,24.948,1.39E+05,21.065,1.18E+05,
1,1,27,5529,2,353.09,365.92,24.44,101.88,5.63E+05,5.8162,32158,21.48,1.19E+05,6.6989,37038,
1,1,28,6970,2,220.56,205.68,23.797,115.6,8.06E+05,15.393,1.07E+05,16.262,1.13E+05,8.0542,56138,
1,1,29,5099,1,341.73,287.24,25.315,108.83,5.55E+05,32.607,1.66E+05,13.996,71368,8.3177,42412,
1,1,30,4738,2,267.74,395.31,25.649,113.29,5.37E+05,4.0975,19414,17.412,82500,6.7642,32049,
1,1,31,2867,1,339.28,321.28,23.295,114.78,3.29E+05,15.232,43669,21.917,62835,7.7408,22193,
1,1,32,5927,1,295.25,359.29,25.147,115.36,6.84E+05,31.757,1.88E+05,16.723,99118,7.3258,43420,
1,1,33,6903,2,354.91,262.35,30.564,132.81,9.17E+05,6.0888,42031,16.909,1.17E+05,8.4301,58193,
1,1,34,4526,2,204.99,363.78,29.864,101.78,4.61E+05,4.5716,20691,17.107,77427,5.7532,26039,
1,1,35,8461,2,251.53,188.76,32.022,97.784,8.27E+05,16.361,1.38E+05,12.9,1.09E+05,7.2328,61197,
1,1,36,11256,1,252.77,362.36,31.456,105.98,1.19E+06,7.4593,83962,34.613,3.90E+05,9.2852,1.05E+05,
1,1,37,6864,1,311.66,267.89,30.453,105.88,7.27E+05,16.206,1.11E+05,19.034,1.31E+05,9.6039,65921,
1,1,38,8900,2,151.81,274.05,34.674,59.26,5.27E+05,5.4518,48521,16.74,1.49E+05,4.457,39667,
1,1,40,4773,1,340.1,343.85,32.459,117.58,5.61E+05,31.358,1.50E+05,12.94,61764,6.9962,33393,
1,1,41,10815,2,302.62,207.45,35.196,103.28,1.12E+06,7.9217,85673,18.178,1.97E+05,7.8615,85022,
1,1,42,2929,1,290.89,316.53,32.894,104.7,3.07E+05,5.4414,15938,19.226,56312,13.328,39037,
1,1,43,5535,2,306.37,391.65,34.654,104.68,5.79E+05,6.3521,35159,15.868,87828,6.3893,35365,
1,1,44,6172,1,359.16,321.83,35.039,105.32,6.50E+05,31.629,1.95E+05,11.986,73977,6.1384,37886,
1,1,45,5274,1,307.86,366.82,34.3,90.292,4.76E+05,21.721,1.15E+05,16.763,88408,7.5855,40006,
1,1,46,8319,2,214.94,175.34,38.809,63.484,5.28E+05,29.052,2.42E+05,18.622,1.55E+05,6.0344,50200,
1,1,47,15199,1,316.96,300.17,38.189,93.791,1.43E+06,5.637,85677,25.833,3.93E+05,23.644,3.59E+05,
1,1,48,8379,2,331.32,246.79,40.617,111.9,9.38E+05,10.918,91482,16.233,1.36E+05,7.7846,65227,
1,1,49,7641,2,234.11,373.92,42.14,85.02,6.50E+05,14.448,1.10E+05,12.669,96801,6.5296,49893,
1,1,50,4081,1,319.05,338.41,41.285,105.85,4.32E+05,16.369,66801,21.96,89618,6.2438,25481,
1,1,51,7367,2,273.75,364.81,42.846,90.593,6.67E+05,9.346,68852,15.705,1.16E+05,7.2179,53174,
1,1,52,9670,2,165.05,310.41,46.839,85.338,8.25E+05,11.201,1.08E+05,13.068,1.26E+05,5.3199,51443,
1,1,53,6596,2,351.96,273.66,46.231,115.47,7.62E+05,5.4721,36094,14.925,98444,7.4442,49102,
1,1,54,10919,2,261.95,183.13,48.329,81.449,8.89E+05,8.8942,97116,12.715,1.39E+05,6.6862,73007,
1,1,55,6102,1,336,309.11,45.883,103.88,6.34E+05,14.564,88870,20.384,1.24E+05,11.209,68397,
1,1,56,6871,2,362.77,313.7,47.995,79.613,5.47E+05,9.6098,66029,17.143,1.18E+05,7.2946,50121,
1,1,57,8424,2,310.56,214.02,48.496,77.979,6.57E+05,5.3317,44914,14,1.18E+05,6.9831,58826,
1,1,58,13809,2,318.49,358.04,49.407,83.499,1.15E+06,6.706,92603,14.44,1.99E+05,6.781,93639,
1,1,59,12212,2,170.28,207.9,51.36,55.747,6.81E+05,13.507,1.65E+05,15.541,1.90E+05,5.4825,66952,
1,1,60,6769,2,317.01,253.25,56.711,80.333,5.44E+05,16.703,1.13E+05,10.531,71281,6.1282,41482,
1,1,61,9066,2,328.18,288.17,57.223,85.175,7.72E+05,7.8184,70882,12.752,1.16E+05,6.0274,54644,
1,1,62,7332,2,312.99,334.26,57.716,73.986,5.42E+05,3.6779,26966,11.364,83324,5.6323,41296,
1,1,63,3696,2,281.45,220.22,58.928,103.35,3.82E+05,7.27,26870,10.362,38297,5.2616,19447,
1,1,64,8702,2,218.89,204.51,59.782,51.859,4.51E+05,19.043,1.66E+05,13.853,1.21E+05,4.0142,34932,
1,1,65,6238,2,277.01,247.61,59.835,65.294,4.07E+05,4.5497,28381,11.953,74560,4.1629,25968,
1,1,66,11658,2,282.2,289.91,59.632,66.968,7.81E+05,10.856,1.27E+05,11.047,1.29E+05,4.8331,56344,
1,1,67,13467,2,260.29,331.32,57.786,35.307,4.75E+05,4.5548,61339,8.5301,1.15E+05,2.8611,38530,
1,1,68,4767,2,208.46,260.41,61.851,91.462,4.36E+05,10.566,50368,9.9197,47287,4.0726,19414,
