Inlier/Outlier, Embryo Id, Cell ID, Size, TE/ICM, X, Y, Z, CH1-Avg, CH1-Sum, CH2-Avg, CH2-Sum, CH3-Avg, CH3-Sum, CH4-Avg, CH4-Sum, 
1,1,1,9625,2,236.46,252.81,5.1944,103.17,9.93E+05,20.74,2.00E+05,93.839,9.03E+05,19.507,1.88E+05,
1,1,2,13579,2,187.47,196.52,8.2533,92.229,1.25E+06,27.217,3.70E+05,105.04,1.43E+06,17.434,2.37E+05,
1,1,3,10083,2,158.82,262.14,10.776,117.8,1.19E+06,39.814,4.01E+05,115.16,1.16E+06,20.542,2.07E+05,
1,1,4,6859,1,232.2,222.63,13.255,111.24,7.63E+05,178.99,1.23E+06,64.441,4.42E+05,19.832,1.36E+05,
1,1,5,12673,1,272.63,214.07,14.488,110.72,1.40E+06,169.8,2.15E+06,60.396,7.65E+05,21.077,2.67E+05,
1,1,6,11006,1,195.76,248.38,15.557,111.24,1.22E+06,34.171,3.76E+05,207.18,2.28E+06,42.6,4.69E+05,
1,1,7,7266,1,202.12,285.33,13.952,88.556,6.43E+05,62.502,4.54E+05,181.95,1.32E+06,49.806,3.62E+05,
1,1,8,9923,1,247.49,282.94,15.327,116.6,1.16E+06,160.18,1.59E+06,97.284,9.65E+05,17.394,1.73E+05,
1,1,9,11560,2,225.46,322.64,15.119,103.76,1.20E+06,55.657,6.43E+05,132.75,1.53E+06,17.363,2.01E+05,
1,1,10,11425,2,298.17,285.67,15.125,109.45,1.25E+06,15.146,1.73E+05,90.852,1.04E+06,14.083,1.61E+05,
1,1,11,6309,1,210.8,164.84,17.62,115.49,7.29E+05,62.938,3.97E+05,199.07,1.26E+06,47.162,2.98E+05,
1,1,12,9346,1,249.2,173.31,16.537,97.788,9.14E+05,30.134,2.82E+05,201.75,1.89E+06,68.643,6.42E+05,
1,1,13,11707,2,322.51,191.66,20.001,110.9,1.30E+06,16.996,1.99E+05,95.516,1.12E+06,20.891,2.45E+05,
1,1,14,8770,1,285.67,176.47,20.439,90.691,7.95E+05,168.41,1.48E+06,57.41,5.03E+05,19.906,1.75E+05,
1,1,15,7014,2,156.81,192.85,19.842,98.501,6.91E+05,150.37,1.05E+06,60.458,4.24E+05,19.93,1.40E+05,
1,1,16,7805,1,212.66,205.92,19.853,111.32,8.69E+05,108.82,8.49E+05,162.31,1.27E+06,24.179,1.89E+05,
1,1,17,9016,2,142.62,279.54,20.7,103.93,9.37E+05,28.907,2.61E+05,105.04,9.47E+05,15.665,1.41E+05,
1,1,18,10488,2,175.82,313.99,20.631,96.513,1.01E+06,21.152,2.22E+05,70.712,7.42E+05,18.113,1.90E+05,
