Inlier/Outlier, Embryo Id, Cell ID, Size, TE/ICM, X, Y, Z, CH1-Avg, CH1-Sum, CH2-Avg, CH2-Sum, CH3-Avg, CH3-Sum, CH4-Avg, CH4-Sum, 
1,1,1,10450,2,307.96,212.87,4.9061,82.219,8.59E+05,8.7144,91066,49.563,5.18E+05,14.847,1.55E+05,
1,1,2,11179,2,240.13,238.59,7.8719,63.048,7.05E+05,5.776,64570,27.295,3.05E+05,16.593,1.85E+05,
1,1,3,8731,2,318.27,256,5.5682,122.93,1.07E+06,8.7028,75984,72.266,6.31E+05,20.308,1.77E+05,
1,1,4,9903,2,272.59,289.14,6.6984,123.66,1.22E+06,13.683,1.36E+05,68.489,6.78E+05,22.839,2.26E+05,
1,1,5,7327,2,282.08,162.1,10.828,76.275,5.59E+05,6.202,45442,18.215,1.33E+05,14.164,1.04E+05,
1,1,6,10255,2,222.24,189.5,11.632,63.509,6.51E+05,6.6516,68212,30.923,3.17E+05,16.259,1.67E+05,
1,1,7,3216,2,230.37,157.42,9.903,151.48,4.87E+05,14.688,47236,36.526,1.17E+05,17.419,56020,
1,1,8,9532,1,296.65,305.23,10.981,102.86,9.80E+05,87.164,8.31E+05,26.981,2.57E+05,18.875,1.80E+05,
1,1,9,8253,1,342.97,269.33,12.057,96.421,7.96E+05,82.06,6.77E+05,46.445,3.83E+05,31.958,2.64E+05,
1,1,10,5465,2,189.26,229.63,13.393,104.48,5.71E+05,6.8589,37484,57.726,3.15E+05,16.011,87500,
1,1,11,6009,2,210.57,280.3,14.92,99.336,5.97E+05,5.4666,32849,43.656,2.62E+05,14.1,84724,
1,1,12,13465,2,370,324.32,15.445,101.59,1.37E+06,26.258,3.54E+05,37.872,5.10E+05,17.393,2.34E+05,
1,1,13,4350,2,290.5,132.66,15.813,118.44,5.15E+05,14.44,62816,31.649,1.38E+05,15.283,66481,
1,1,14,6961,2,365.76,221.12,17.463,114.66,7.98E+05,26.079,1.82E+05,59.978,4.18E+05,16.617,1.16E+05,
1,1,15,9247,2,389.02,260.1,18.462,119.18,1.10E+06,14.214,1.31E+05,43.047,3.98E+05,17.729,1.64E+05,
1,1,16,6486,1,336.9,321.6,18.658,117.12,7.60E+05,85.499,5.55E+05,56.551,3.67E+05,14.947,96947,
1,1,17,4826,1,256.38,330.26,17.046,93.778,4.53E+05,138.94,6.71E+05,16.903,81575,17.178,82901,
1,1,18,3936,2,208.34,140.73,18.81,115.86,4.56E+05,5.0628,19927,40.662,1.60E+05,13.535,53274,
1,1,19,4805,2,186.12,162.33,19.073,108.62,5.22E+05,5.114,24573,43.331,2.08E+05,14.733,70794,
1,1,20,4498,2,170.03,218.67,19.005,118.97,5.35E+05,5.2321,23534,43.068,1.94E+05,15.148,68137,
1,1,21,10037,1,314.07,286.25,19.486,112.41,1.13E+06,11.087,1.11E+05,139,1.40E+06,112.15,1.13E+06,
1,1,22,10116,2,225.78,316.29,20.225,115.68,1.17E+06,6.2419,63143,39.636,4.01E+05,18.178,1.84E+05,
1,1,23,9399,2,353.48,156.78,22.095,72.158,6.78E+05,5.3312,50108,26.495,2.49E+05,12.009,1.13E+05,
1,1,24,4602,1,289.82,333.04,23.191,211.62,9.74E+05,6.9911,32173,52.879,2.43E+05,28.2,1.30E+05,
1,1,25,10813,2,164.67,250.4,27.155,99.256,1.07E+06,16.764,1.81E+05,32.569,3.52E+05,14.485,1.57E+05,
1,1,26,3786,1,336.14,356.49,24.362,93.803,3.55E+05,55.191,2.09E+05,82.29,3.12E+05,18.433,69789,
1,1,27,4753,2,325.73,125.49,26.168,101.79,4.84E+05,7.3583,34974,19.202,91265,12.641,60084,
1,1,28,7824,1,366.38,329.8,26.416,115.83,9.06E+05,121.25,9.49E+05,27.8,2.18E+05,14.727,1.15E+05,
1,1,29,10059,2,296.65,377.02,27.858,105.65,1.06E+06,19.596,1.97E+05,58.75,5.91E+05,14.513,1.46E+05,
1,1,30,12613,2,254.38,97.827,30.478,87.95,1.11E+06,39.919,5.04E+05,27.421,3.46E+05,13.022,1.64E+05,
1,1,31,6939,1,356.79,259.75,27.519,91.905,6.38E+05,6.427,44597,108.92,7.56E+05,121.77,8.45E+05,
1,1,32,8497,1,388.44,294.92,29.326,87.265,7.41E+05,36.833,3.13E+05,92.824,7.89E+05,17.177,1.46E+05,
1,1,33,9444,2,388.1,251.52,30.157,94.072,8.88E+05,83.37,7.87E+05,49.687,4.69E+05,16.783,1.59E+05,
1,1,34,2955,1,329.02,277.63,26.692,121.5,3.59E+05,5.0318,14869,114.26,3.38E+05,192.6,5.69E+05,
1,1,35,8152,2,251.9,351.56,30.689,89.33,7.28E+05,87.114,7.10E+05,18.493,1.51E+05,15.463,1.26E+05,
1,1,36,3916,1,251.6,313.21,29.954,92.968,3.64E+05,6.6422,26011,137.66,5.39E+05,166.68,6.53E+05,
