Inlier/Outlier, Embryo Id, Cell ID, Size, TE/ICM, X, Y, Z, CH1-Avg, CH1-Sum, CH2-Avg, CH2-Sum, CH3-Avg, CH3-Sum, CH4-Avg, CH4-Sum, 
1,1,1,4654,2,213.36,322.96,4.4824,63.286,2.95E+05,15.942,74193,23.045,1.07E+05,8.231,38307,
1,1,2,9458,2,209.78,238.98,4.2173,44.695,4.23E+05,27.226,2.58E+05,22.968,2.17E+05,6.5934,62360,
1,1,3,8171,2,348.99,242.6,4.2989,79.461,6.49E+05,18.781,1.53E+05,20.853,1.70E+05,9.2595,75659,
1,1,4,10040,2,282.12,251.63,4.7452,54.991,5.52E+05,29.479,2.96E+05,19.952,2.00E+05,9.0829,91192,
1,1,5,6060,2,310.91,364.78,4.3957,66.382,4.02E+05,60.324,3.66E+05,33.078,2.00E+05,8.4627,51284,
1,1,6,15016,2,286.4,167.52,7.9316,49.209,7.39E+05,18.965,2.85E+05,20.274,3.04E+05,6.3753,95731,
1,1,7,6528,2,172.9,169.69,4.5924,127.57,8.33E+05,20.116,1.31E+05,12.7,82904,6.108,39873,
1,1,8,7167,2,235.07,174.55,6.8566,130.45,9.35E+05,29.182,2.09E+05,16.327,1.17E+05,7.4475,53376,
1,1,9,16199,2,138.02,244.76,8.6436,37.898,6.14E+05,23.977,3.88E+05,21.941,3.55E+05,6.9856,1.13E+05,
1,1,10,20414,2,125.06,290.62,7.2433,49.751,1.02E+06,22.927,4.68E+05,21.251,4.34E+05,7.8164,1.60E+05,
1,1,11,15386,2,213.79,281.75,7.3341,80.573,1.24E+06,38.272,5.89E+05,27.163,4.18E+05,12.645,1.95E+05,
1,1,12,9824,2,371.38,319.1,5.8863,73.549,7.23E+05,19.025,1.87E+05,23.453,2.30E+05,9.4779,93111,
1,1,13,13420,2,257.34,109.55,9.7844,83.498,1.12E+06,35.258,4.73E+05,21.963,2.95E+05,9.0639,1.22E+05,
1,1,14,10368,2,328.03,390.27,9.3499,53.193,5.52E+05,24.045,2.49E+05,25.258,2.62E+05,8.9067,92345,
1,1,15,10418,2,371.74,160.77,8.9494,71.777,7.48E+05,27.321,2.85E+05,27.253,2.84E+05,10.692,1.11E+05,
1,1,16,13546,2,410.95,243.14,10.726,76.575,1.04E+06,25.896,3.51E+05,19.497,2.64E+05,9.3617,1.27E+05,
1,1,17,20131,2,134.4,342.94,9.4878,47.309,9.52E+05,15.827,3.19E+05,20.394,4.11E+05,5.9262,1.19E+05,
1,1,18,10808,2,257.05,385.88,11.256,83.661,9.04E+05,21.528,2.33E+05,22.981,2.48E+05,9.1142,98506,
1,1,19,4729,2,146.43,166.87,11.394,83.177,3.93E+05,26.176,1.24E+05,26.345,1.25E+05,8.8996,42086,
1,1,20,6498,1,331.19,274.68,11.964,80.703,5.24E+05,75.011,4.87E+05,35.389,2.30E+05,10.716,69631,
1,1,21,11939,1,286.82,316.15,10.695,91.268,1.09E+06,63.571,7.59E+05,52.931,6.32E+05,11.7,1.40E+05,
1,1,22,12940,2,384.15,344.18,11.619,73.819,9.55E+05,20.203,2.61E+05,21.252,2.75E+05,8.1478,1.05E+05,
1,1,23,4196,1,250.25,330.26,12.59,85.299,3.58E+05,55.461,2.33E+05,60.65,2.54E+05,10.926,45844,
1,1,24,14634,2,186.19,375.85,10.758,41.855,6.13E+05,18.472,2.70E+05,19.374,2.84E+05,5.7256,83788,
1,1,25,6480,2,187.73,140.91,14.021,74.525,4.83E+05,27.405,1.78E+05,24.194,1.57E+05,9.1748,59453,
1,1,26,15406,2,372.53,285.6,15.83,61.654,9.50E+05,19.253,2.97E+05,20.848,3.21E+05,6.4485,99345,
1,1,27,9543,1,323.95,340.85,18.929,82.592,7.88E+05,58.741,5.61E+05,38.193,3.64E+05,9.2995,88745,
1,1,28,7601,1,198.89,344.92,17.468,80.065,6.09E+05,106.08,8.06E+05,30.508,2.32E+05,10.507,79864,
1,1,29,11100,2,336.53,141.69,20.395,79.946,8.87E+05,23.707,2.63E+05,25.805,2.86E+05,9.4698,1.05E+05,
1,1,30,11499,2,374.07,234.63,18.851,72.963,8.39E+05,16.237,1.87E+05,25.824,2.97E+05,7.1092,81749,
1,1,31,5792,1,232.02,259.64,18.807,79.823,4.62E+05,105.71,6.12E+05,32.429,1.88E+05,10.379,60113,
1,1,32,5072,1,270.19,262.62,17.842,88.449,4.49E+05,57.779,2.93E+05,55.691,2.82E+05,10.528,53396,
1,1,33,3804,1,268.24,298.96,16.498,93.598,3.56E+05,38.741,1.47E+05,52.713,2.01E+05,10.815,41142,
1,1,34,1447,1,356.76,324.88,16.319,67.158,97178,15.383,22259,30.453,44066,9.0594,13109,
1,1,35,10999,2,333.2,226.63,20.449,89.494,9.84E+05,31.936,3.51E+05,23.06,2.54E+05,9.9982,1.10E+05,
1,1,36,5387,1,252.66,227.19,19.377,93.175,5.02E+05,130.91,7.05E+05,31.865,1.72E+05,9.7639,52598,
1,1,37,6942,2,137.02,271.97,19.186,65.066,4.52E+05,20.909,1.45E+05,23.823,1.65E+05,7.2741,50497,
1,1,38,2618,1,312.58,289.61,17.942,78.216,2.05E+05,107.06,2.80E+05,38.492,1.01E+05,10.525,27554,
1,1,39,7602,1,178.57,292.06,21.565,62.782,4.77E+05,182.76,1.39E+06,33.278,2.53E+05,9.4745,72025,
1,1,40,6010,1,320.14,250.6,21.413,90.23,5.42E+05,144.87,8.71E+05,21.421,1.29E+05,9.2777,55759,
1,1,42,2595,1,207.67,288.42,19.063,69.201,1.80E+05,31.556,81887,49.904,1.30E+05,10.761,27924,
1,1,43,3959,1,303.18,324.93,21.541,86.461,3.42E+05,55.017,2.18E+05,47.218,1.87E+05,9.9922,39559,
1,1,44,9393,1,245.48,339.37,23.282,79.149,7.43E+05,67.769,6.37E+05,32.269,3.03E+05,9.5789,89975,
1,1,45,9957,2,279.17,193.67,24.439,100.4,1.00E+06,21.234,2.11E+05,25.278,2.52E+05,8.7861,87483,
1,1,46,933,1,255.27,279.44,21.462,131.31,1.23E+05,20.719,19331,17.866,16669,15.534,14493,
1,1,47,15551,1,215.69,322.67,26.562,65.069,1.01E+06,45.46,7.07E+05,26.949,4.19E+05,10.546,1.64E+05,
1,1,48,6365,1,277.56,355.85,23.881,67.879,4.32E+05,136.8,8.71E+05,28.081,1.79E+05,8.4936,54062,
1,1,49,3276,1,304.73,277.05,23.524,97.19,3.18E+05,46.464,1.52E+05,45.371,1.49E+05,9.8791,32364,
1,1,50,9570,2,171.59,257.97,26.348,49.764,4.76E+05,23.517,2.25E+05,18.965,1.81E+05,6.4972,62178,
1,1,51,5092,2,253.13,130.79,27.926,84.633,4.31E+05,23.326,1.19E+05,23.376,1.19E+05,7.6198,38800,
1,1,52,21019,2,183.59,196.01,26.054,31.451,6.61E+05,14.642,3.08E+05,11.03,2.32E+05,4.5448,95528,
1,1,53,6833,1,274.31,230.18,28.63,89.025,6.08E+05,135.11,9.23E+05,21.761,1.49E+05,9.006,61538,
1,1,54,3313,1,213.55,259.49,26.195,66.002,2.19E+05,32.599,1.08E+05,42.571,1.41E+05,10.68,35382,
1,1,55,1203,1,297.71,255.07,25.924,91.14,1.10E+05,62.849,75607,46.513,55955,9.3766,11280,
1,1,56,5610,1,320.28,306.48,25.737,77.923,4.37E+05,169.91,9.53E+05,40.124,2.25E+05,9.6725,54263,
1,1,57,8370,1,268.08,273.75,28.559,72.302,6.05E+05,70.283,5.88E+05,29.805,2.49E+05,9.0289,75572,
1,1,58,3467,2,274.73,151.44,29.733,105.9,3.67E+05,20.244,70187,18.468,64028,6.9625,24139,
1,1,59,10801,2,319.32,149.63,30.285,63.661,6.88E+05,36.306,3.92E+05,13.983,1.51E+05,6.5739,71005,
1,1,60,3696,2,232,203.96,29.509,124.79,4.61E+05,24.271,89706,18.726,69210,6.9234,25589,
1,1,61,4571,2,268.45,313.67,30.995,67.647,3.09E+05,148.58,6.79E+05,36.254,1.66E+05,9.5073,43458,
1,1,62,4265,2,239.92,240.89,32.038,73.561,3.14E+05,19.055,81269,20.778,88619,8.8919,37924,
