Inlier/Outlier, Embryo Id, Cell ID, Size, TE/ICM, X, Y, Z, CH1-Avg, CH1-Sum, CH2-Avg, CH2-Sum, CH3-Avg, CH3-Sum, CH4-Avg, CH4-Sum, 
1,1,1,6428,2,153.5,344.54,4.8099,96.255,6.19E+05,25.399,1.63E+05,134.29,8.63E+05,15.259,98082,
1,1,2,7424,2,130.88,294.06,5.4733,75.39,5.60E+05,24.405,1.81E+05,115.3,8.56E+05,13.688,1.02E+05,
1,1,3,8576,2,227.99,166.95,5.391,83.429,7.15E+05,98.545,8.45E+05,84.281,7.23E+05,16.996,1.46E+05,
1,1,4,5790,2,143.01,212.79,5.8076,110.03,6.37E+05,23.941,1.39E+05,145.69,8.44E+05,19.556,1.13E+05,
1,1,5,6277,2,180.63,221.44,5.325,95.088,5.97E+05,46.677,2.93E+05,108.4,6.80E+05,16.109,1.01E+05,
1,1,6,8049,2,159.4,262.33,5.7429,94.375,7.60E+05,23.697,1.91E+05,109.65,8.83E+05,18.316,1.47E+05,
1,1,7,4918,2,118.66,237.7,9.2633,113.14,5.56E+05,15.23,74900,77.078,3.79E+05,16.864,82935,
1,1,8,5166,2,163.69,169.57,10.112,114.99,5.94E+05,18.837,97314,104.45,5.40E+05,19.536,1.01E+05,
1,1,9,5452,2,99.445,263.61,11.729,127.37,6.94E+05,24.969,1.36E+05,141.42,7.71E+05,21.907,1.19E+05,
1,1,10,13587,2,213.48,314.2,8.9397,68.123,9.26E+05,22.526,3.06E+05,90.921,1.24E+06,12.737,1.73E+05,
1,1,11,8901,2,307.58,323.11,9.4884,130.69,1.16E+06,50.024,4.45E+05,129.06,1.15E+06,20.889,1.86E+05,
1,1,12,7169,2,245.57,361.12,9.413,166.73,1.20E+06,30.181,2.16E+05,74.254,5.32E+05,21.398,1.53E+05,
1,1,13,7448,2,209.41,252.24,12.345,97.806,7.28E+05,34.192,2.55E+05,130.26,9.70E+05,15.988,1.19E+05,
1,1,14,5334,2,201.65,146.14,12.421,110.95,5.92E+05,20.128,1.07E+05,99.801,5.32E+05,24.874,1.33E+05,
1,1,15,7217,2,234.92,207.83,14.914,100.19,7.23E+05,37.009,2.67E+05,108.36,7.82E+05,16.978,1.23E+05,
1,1,16,6683,2,284.98,354.03,13.191,163.06,1.09E+06,42.538,2.84E+05,129.38,8.65E+05,30.2,2.02E+05,
1,1,17,4383,2,128.37,186.49,16.456,138,6.05E+05,17.182,75309,86.003,3.77E+05,19.23,84284,
1,1,18,8927,2,132.84,347.72,17.656,103.49,9.24E+05,23.003,2.05E+05,127.86,1.14E+06,21.272,1.90E+05,
1,1,19,6755,2,285.35,151.46,18.679,159.68,1.08E+06,22.191,1.50E+05,54.095,3.65E+05,12.417,83878,
1,1,20,5117,2,97.494,295.74,17.928,119.03,6.09E+05,39.757,2.03E+05,117.02,5.99E+05,16.885,86401,
1,1,21,14704,2,295.75,193.53,21.023,57.234,8.42E+05,63.755,9.37E+05,82.673,1.22E+06,10.937,1.61E+05,
1,1,22,1149,2,181.13,374.81,16.666,158.01,1.82E+05,36.715,42186,30.091,34574,33.735,38762,
1,1,23,8190,2,345.45,288.72,21.259,117.28,9.61E+05,23.601,1.93E+05,154.87,1.27E+06,18.412,1.51E+05,
1,1,24,21490,1,198.82,363.94,26.199,104.01,2.24E+06,143.42,3.08E+06,144.04,3.10E+06,98.045,2.11E+06,
1,1,25,11063,2,326.14,221.48,22.662,69.98,7.74E+05,40.057,4.43E+05,69.81,7.72E+05,11.98,1.33E+05,
1,1,26,24751,2,246.54,277.41,24.258,45.537,1.13E+06,14.392,3.56E+05,49.03,1.21E+06,8.1283,2.01E+05,
1,1,27,8913,2,177.43,141.03,25.698,110.84,9.88E+05,16.216,1.45E+05,64.588,5.76E+05,17.051,1.52E+05,
1,1,28,12570,2,253.57,393.71,25.684,111.42,1.40E+06,31.162,3.92E+05,90.427,1.14E+06,23.967,3.01E+05,
1,1,29,6111,2,239.33,131.61,25.157,107.31,6.56E+05,35.777,2.19E+05,78.29,4.78E+05,21.143,1.29E+05,
1,1,30,7041,2,103.67,220.41,25.846,87.777,6.18E+05,37.555,2.64E+05,112.19,7.90E+05,17.606,1.24E+05,
1,1,31,9648,1,258.98,366.84,24.92,91.464,8.82E+05,179.19,1.73E+06,168.94,1.63E+06,23.447,2.26E+05,
1,1,32,9822,1,316.72,338.35,26.4,110.28,1.08E+06,200.27,1.97E+06,42.22,4.15E+05,21.398,2.10E+05,
1,1,33,5117,2,135,167.88,27.149,106.98,5.47E+05,29.672,1.52E+05,100.02,5.12E+05,15.885,81282,
1,1,34,11620,1,283.7,330.33,29.915,108.69,1.26E+06,140.63,1.63E+06,180.16,2.09E+06,22.078,2.57E+05,
1,1,35,9913,2,342.9,304.51,32.211,126.18,1.25E+06,29.789,2.95E+05,63.24,6.27E+05,23.922,2.37E+05,
1,1,36,8881,2,162.29,375.73,34.443,109.23,9.70E+05,21.148,1.88E+05,76.714,6.81E+05,18.99,1.69E+05,
1,1,37,4487,1,243.9,338.93,31.957,113.22,5.08E+05,24.336,1.09E+05,245.26,1.10E+06,216,9.69E+05,
1,1,38,8859,2,136,347.62,31.864,117.75,1.04E+06,12.532,1.11E+05,120.57,1.07E+06,15.222,1.35E+05,
1,1,39,8377,2,342.97,181.69,34.231,129.78,1.09E+06,65.242,5.47E+05,60.373,5.06E+05,18.004,1.51E+05,
1,1,40,9161,1,246.21,371.87,36.602,97.51,8.93E+05,168.27,1.54E+06,55.482,5.08E+05,18.128,1.66E+05,
1,1,41,5164,2,250.05,134.85,36.953,108.76,5.62E+05,17.849,92172,81.554,4.21E+05,16.527,85346,
1,1,42,9528,2,108.11,283.99,36.729,64.578,6.15E+05,12.014,1.14E+05,62.697,5.97E+05,10.863,1.04E+05,
1,1,43,8942,1,306.47,309.42,38.906,103.95,9.30E+05,44.003,3.93E+05,199.23,1.78E+06,34.061,3.05E+05,
1,1,44,10436,1,306.97,356.09,38.833,94.052,9.82E+05,182.73,1.91E+06,51.678,5.39E+05,32.241,3.36E+05,
1,1,45,4486,2,116.08,202.76,38.228,118.35,5.31E+05,23.917,1.07E+05,64.564,2.90E+05,20.618,92494,
1,1,46,6137,2,349,252.7,39.035,93.034,5.71E+05,68.849,4.23E+05,79.51,4.88E+05,13.215,81101,
1,1,47,10047,1,191.44,362.61,39.34,96.263,9.67E+05,199.66,2.01E+06,65.378,6.57E+05,31.54,3.17E+05,
1,1,48,4061,1,228.26,332.83,39.86,97.993,3.98E+05,22.146,89933,239.59,9.73E+05,206.17,8.37E+05,
1,1,49,5604,2,211.34,143.9,43.387,85.392,4.79E+05,17.989,1.01E+05,46.194,2.59E+05,14.059,78789,
1,1,50,12329,1,239.21,311.1,45.435,84.917,1.05E+06,13.403,1.65E+05,184.06,2.27E+06,194.13,2.39E+06,
1,1,51,10206,2,165.45,162.36,44.598,80.407,8.21E+05,10.981,1.12E+05,58.066,5.93E+05,13.131,1.34E+05,
1,1,52,4486,2,307.89,171.07,45.804,106.38,4.77E+05,15.891,71286,72.745,3.26E+05,12.041,54015,
1,1,53,9560,1,280.02,360.47,46.111,92.752,8.87E+05,27.258,2.61E+05,185.42,1.77E+06,126.73,1.21E+06,
1,1,54,12229,1,220.91,379.17,48.036,76.581,9.37E+05,146.48,1.79E+06,24.074,2.94E+05,20.113,2.46E+05,
1,1,55,4470,2,133.79,201.26,46.526,109.97,4.92E+05,18.27,81665,62.408,2.79E+05,11.439,51134,
1,1,56,10035,1,324.48,274.48,48.956,107.72,1.08E+06,14.32,1.44E+05,79.871,8.02E+05,14.333,1.44E+05,
1,1,57,3898,2,137.21,324.23,47.953,115.28,4.49E+05,9.548,37218,53.248,2.08E+05,14.9,58081,
1,1,58,5047,2,325.29,226.97,50.278,92.587,4.67E+05,11.211,56580,64.299,3.25E+05,12.055,60842,
